epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18732,2.1079,1.93241,3.61147,0.01091,0.39842,0.00626,0.00139,2.43172,107.504,3.94797,0.0522348,0.00147727,0.00147727
2,15.3262,1.90271,1.70977,3.23766,0.00242,0.02375,0.00095,0.00031,2.51286,37.4335,5.63247,0.0037167,0.00295913,0.00295913
3,22.7277,1.69032,1.67613,2.98866,0.03748,0.08971,0.01591,0.00289,2.2497,36.0836,4.04632,0.00292732,0.00292732,0.00292732
4,29.8819,1.5842,1.6195,2.84554,0.14891,0.29815,0.09365,0.02843,1.84088,9.61967,3.11093,0.00283814,0.00283814,0.00283814
5,37.1954,1.51088,1.53583,2.71476,0.12416,0.22691,0.0811,0.01883,1.84007,4.73028,3.19141,0.00271639,0.00271639,0.00271639
6,44.123,1.45659,1.47864,2.59305,0.2102,0.48031,0.18391,0.05356,1.53769,2.4719,2.58598,0.00256505,0.00256505,0.00256505
7,51.3763,1.36597,1.37956,2.4532,0.33722,0.41215,0.30683,0.10732,1.4681,2.136,2.55339,0.00238786,0.00238786,0.00238786
8,58.5698,1.36023,1.34887,2.42211,0.29495,0.32454,0.21598,0.06915,1.53311,1.62457,2.58338,0.00218918,0.00218918,0.00218918
9,65.8322,1.31001,1.30145,2.32677,0.36966,0.46702,0.31463,0.11193,1.34301,1.25916,2.31267,0.00197389,0.00197389,0.00197389
10,73.1611,1.28108,1.22547,2.27214,0.4897,0.50387,0.4871,0.20867,1.29943,1.16121,2.23749,0.00174731,0.00174731,0.00174731
11,80.1819,1.20131,1.17958,2.17469,0.4731,0.62797,0.51095,0.21114,1.19577,1.25076,2.12179,0.001515,0.001515,0.001515
12,87.2979,1.1847,1.14452,2.16304,0.52069,0.54354,0.49539,0.19922,1.20926,1.12046,2.12874,0.00128269,0.00128269,0.00128269
13,94.2722,1.18372,1.12327,2.16925,0.52122,0.53562,0.47157,0.19426,1.19838,1.0661,2.11637,0.00105611,0.00105611,0.00105611
14,101.43,1.14014,1.09378,2.09689,0.58099,0.58047,0.55341,0.26883,1.13196,0.98522,2.01591,0.000840824,0.000840824,0.000840824
15,108.206,1.11159,1.04169,2.05327,0.61852,0.58575,0.61281,0.28474,1.1404,0.9723,1.9934,0.000642139,0.000642139,0.000642139
16,115.299,1.11494,1.05162,2.02385,0.68828,0.63503,0.68576,0.34885,1.10106,0.92132,1.94243,0.000464946,0.000464946,0.000464946
17,122.536,1.09823,1.04124,2.01583,0.65616,0.58912,0.60235,0.29111,1.10628,0.93141,1.96506,0.00031361,0.00031361,0.00031361
18,129.643,1.0823,0.98663,1.99655,0.67173,0.6749,0.68611,0.32332,1.12601,0.90338,1.95563,0.000191855,0.000191855,0.000191855
19,137.633,1.04857,1.00323,2.02042,0.70722,0.66227,0.70887,0.37358,1.07768,0.89937,1.92317,0.000102681,0.000102681,0.000102681
20,144.507,1.02142,0.9285,2.0063,0.76859,0.68074,0.7444,0.38809,1.06303,0.87979,1.90141,4.82828e-05,4.82828e-05,4.82828e-05
