epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1316,2.09853,1.68074,3.13535,0.0088,0.40897,0.00603,0.0013,2.49104,41.9258,3.2607,0.0519886,0.00123106,0.00123106
2,27.5277,1.86633,1.50758,2.76405,0.00092,0.0343,0.00024,7e-05,3.14131,393.035,19.0426,0.00322352,0.00246594,0.00246594
3,41.251,1.72709,1.46584,2.58323,0.00075,0.1372,0.00047,0.00014,2.5021,984.042,4.13107,0.00243943,0.00243943,0.00243943
4,54.268,1.61304,1.40702,2.44711,0.01446,0.53826,0.01069,0.0035,1.79224,5.93993,2.56792,0.00236512,0.00236512,0.00236512
5,67.6412,1.53055,1.31018,2.34997,0.13124,0.29024,0.07447,0.02036,1.77697,2.79464,2.50742,0.00226366,0.00226366,0.00226366
6,80.5972,1.49278,1.25957,2.2647,0.15503,0.34301,0.14607,0.04072,1.64755,1.52474,2.33834,0.00213754,0.00213754,0.00213754
7,93.5644,1.42768,1.18774,2.14118,0.30995,0.41689,0.30508,0.09468,1.5157,1.29456,2.24863,0.00198988,0.00198988,0.00198988
8,107.304,1.41624,1.17541,2.1084,0.2438,0.39314,0.21638,0.06031,1.46984,1.56736,2.1031,0.00182431,0.00182431,0.00182431
9,120.327,1.33899,1.1098,1.99384,0.37626,0.34828,0.30177,0.09899,1.45399,1.15666,2.09032,0.00164491,0.00164491,0.00164491
10,133.862,1.31493,1.05237,1.94244,0.3262,0.3562,0.31441,0.11305,1.39262,1.07512,2.02666,0.00145609,0.00145609,0.00145609
11,147.178,1.26207,1.01412,1.86669,0.45077,0.53562,0.4448,0.17857,1.23753,1.08111,1.8609,0.0012625,0.0012625,0.0012625
12,161.006,1.24465,0.97963,1.84392,0.48443,0.54354,0.51424,0.23406,1.27454,0.96132,1.89791,0.00106891,0.00106891,0.00106891
13,175.011,1.22954,0.96389,1.84768,0.58584,0.51715,0.55336,0.2335,1.19374,0.91397,1.78916,0.000880091,0.000880091,0.000880091
14,188.867,1.14876,0.92468,1.75665,0.57682,0.59367,0.61535,0.28428,1.13958,0.81292,1.72667,0.000700687,0.000700687,0.000700687
15,202.79,1.14266,0.87963,1.75007,0.54376,0.66037,0.60898,0.2766,1.11706,0.85627,1.70847,0.000535116,0.000535116,0.000535116
16,216.24,1.13956,0.86997,1.73563,0.61543,0.65448,0.6412,0.30483,1.11341,0.82255,1.69304,0.000387455,0.000387455,0.000387455
17,229.558,1.13467,0.85703,1.72644,0.64356,0.58047,0.64746,0.32784,1.11634,0.80431,1.68614,0.000261341,0.000261341,0.000261341
18,243.122,1.10566,0.83324,1.69968,0.67575,0.67282,0.67635,0.32938,1.10725,0.77329,1.6736,0.000159879,0.000159879,0.000159879
19,257.822,1.07672,0.84115,1.71884,0.76385,0.68278,0.74725,0.39771,1.06109,0.74617,1.62986,8.55676e-05,8.55676e-05,8.55676e-05
20,271.864,1.05803,0.78079,1.71248,0.75337,0.70119,0.76371,0.40705,1.04729,0.72868,1.61255,4.02357e-05,4.02357e-05,4.02357e-05
