epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6371,1.8978,1.37651,2.45695,0.00186,0.51715,0.01574,0.0032,2.14805,2.24658,2.4533,0.05125,0.000492424,0.000492424
2,20.9536,1.78951,1.24658,2.22531,0.09092,0.05277,0.02809,0.006,2.25511,2.47859,2.63205,0.00174395,0.000986376,0.000986376
3,30.4573,1.6465,1.18159,2.09191,0.00558,0.08443,0.00241,0.00054,2.07654,3.92728,2.80602,0.000975773,0.000975773,0.000975773
4,40.4085,1.53607,1.12711,1.97919,0.01876,0.17942,0.01026,0.00277,1.67107,3.30041,2.12229,0.000946048,0.000946048,0.000946048
5,50.9771,1.45565,1.07672,1.89547,0.14281,0.21108,0.07899,0.01984,1.70877,1.81448,2.07315,0.000905463,0.000905463,0.000905463
6,60.789,1.40878,1.04299,1.83329,0.17112,0.28496,0.14451,0.03937,1.44255,1.51552,1.81727,0.000855018,0.000855018,0.000855018
7,70.7411,1.3443,0.99466,1.76148,0.37894,0.38155,0.3241,0.09699,1.41864,1.1239,1.77275,0.000795954,0.000795954,0.000795954
8,80.5724,1.31652,0.95783,1.72212,0.39018,0.41689,0.32629,0.10128,1.37976,1.02952,1.70777,0.000729725,0.000729725,0.000729725
9,90.6122,1.27869,0.93019,1.67552,0.42187,0.44327,0.34715,0.10517,1.3171,0.93772,1.65933,0.000657963,0.000657963,0.000657963
10,100.986,1.23253,0.89549,1.61688,0.47642,0.47493,0.44544,0.16415,1.24471,0.91189,1.57734,0.000582435,0.000582435,0.000582435
11,111.257,1.18481,0.85833,1.57844,0.55934,0.55409,0.52595,0.194,1.23451,0.82464,1.55808,0.000505,0.000505,0.000505
12,121.335,1.17105,0.83772,1.56602,0.57104,0.5277,0.5027,0.18765,1.27272,0.80895,1.5891,0.000427565,0.000427565,0.000427565
13,131.695,1.16101,0.82651,1.57082,0.58356,0.53826,0.5329,0.20045,1.19297,0.80472,1.51386,0.000352037,0.000352037,0.000352037
14,141.933,1.1266,0.8136,1.5213,0.61809,0.4248,0.4712,0.19103,1.19601,0.91126,1.54098,0.000280275,0.000280275,0.000280275
15,152.564,1.09096,0.78778,1.49718,0.54679,0.54435,0.49474,0.19055,1.22024,0.75018,1.52352,0.000214046,0.000214046,0.000214046
16,162.45,1.09867,0.78182,1.48383,0.62948,0.59103,0.60529,0.26119,1.14964,0.71218,1.47086,0.000154982,0.000154982,0.000154982
17,172.377,1.08322,0.76974,1.47804,0.66114,0.56992,0.61614,0.2682,1.12767,0.71983,1.45517,0.000104537,0.000104537,0.000104537
18,182.817,1.06686,0.74637,1.46439,0.67882,0.59103,0.63686,0.27414,1.11027,0.68804,1.43695,6.39518e-05,6.39518e-05,6.39518e-05
19,193.472,1.05135,0.76771,1.4877,0.68961,0.57784,0.63221,0.2882,1.05874,0.69025,1.40909,3.4227e-05,3.4227e-05,3.4227e-05
20,203.729,1.02517,0.71379,1.48193,0.70806,0.60154,0.63472,0.29982,1.04645,0.68299,1.4034,1.60943e-05,1.60943e-05,1.60943e-05
